P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,Oemp1,Oemp2,Oemp3,Oemp4,Oemp5,Oemp6,Oemp7,Oemp8,Oemp9,Oemp10,Oemp11,Oemp12,Oemp13,Oemp14,Oemp15,Oemp16,Oemp17,Oemp18,TEN,PO,Organization,,,
5,5,4,5,4,4,4,4,5,4,5,4,4,4,4,5,4,4,5,4,4,4,3,3,4,4,5,4,4,5,4,3,4,4,3,4,2,0,1,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,0,1,,0,0
5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,3,3,5,5,5,5,5,4,3,3,3,4,4,13,0,1,,0,0
5,5,5,4,4,4,4,4,5,5,4,4,3,4,4,4,4,4,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,0,1,,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,3,3,2,3,3,3,12,0,1,,0,0
5,5,4,4,5,5,4,4,4,4,5,5,3,5,5,4,5,3,5,4,4,3,3,3,4,4,4,3,3,4,3,3,4,4,3,3,9,0,1,,1,0
4,3,5,4,4,3,5,4,4,3,5,5,3,4,3,4,4,5,4,2,4,3,4,3,5,4,4,3,4,4,3,4,3,5,4,4,3,0,1,,0,0
4,5,5,5,4,3,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,3,3,3,4,3,3,3,4,4,3,4,3,4,3,3,10,0,1,,0,0
4,5,5,4,4,4,4,4,5,5,5,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,5,0,1,,0,0
4,4,4,4,5,5,4,4,5,4,5,5,4,5,5,5,5,3,3,4,4,3,3,4,4,3,4,4,5,5,3,4,4,4,4,3,3,0,1,,1,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,4,4,4,3,3,3,2,3,4,3,4,4,2,4,2,0,1,,0,0
5,5,5,5,5,5,4,4,4,4,5,5,4,5,5,5,5,4,5,3,4,3,3,4,4,4,4,4,5,4,4,4,4,5,4,3,11,0,1,,0,0
4,4,5,5,4,5,4,4,5,5,5,5,4,4,3,4,5,4,3,3,4,4,4,3,4,4,5,5,5,5,3,3,3,4,5,3,3,0,1,,0,0
4,4,4,3,3,3,4,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,1,1,,0,0
5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,2,0,1,,0,0
4,4,5,3,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,3,3,3,4,3,4,3,3,3,4,4,4,3,3,4,5,4,8,0,1,,0,0
5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,4,3,3,3,3,5,3,5,2,0,1,,1,0
5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,3,4,4,5,5,5,5,5,5,5,5,4,4,3,4,4,3,1,0,1,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,0,1,,0,0
4,4,5,4,4,5,4,5,5,4,5,5,4,4,5,4,5,5,3,4,3,4,4,3,3,4,4,3,4,4,3,3,3,4,4,3,5,0,1,,0,0
3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,0,1,,1,0
4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,3,2,3,3,4,4,3,4,4,3,3,3,5,4,5,10,1,1,,0,0
4,4,5,4,4,4,5,4,5,5,5,5,5,5,4,5,5,4,4,3,3,2,3,3,5,3,3,3,3,3,2,3,3,5,4,5,5,0,1,,0,0
4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,5,3,1,1,,1,1
4,3,4,3,3,3,3,4,4,2,3,3,3,3,3,3,3,4,4,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,5,8,1,1,,1,1
5,4,4,4,3,3,4,4,4,4,5,5,4,4,3,5,5,5,5,3,3,3,3,2,4,5,5,3,4,4,4,2,4,3,4,3,9,1,1,,0,0
5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,0,1,,0,0
5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,1,3,2,4,5,5,5,5,5,2,5,5,3,5,5,3,5,14,0,1,,0,0
4,4,4,4,4,4,4,5,4,4,5,4,4,4,3,4,4,4,4,4,4,3,4,4,5,4,4,4,5,4,4,3,4,5,4,4,4,0,1,,0,0
2,3,1,3,4,3,4,4,4,4,5,4,4,5,4,4,5,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,16,0,1,,0,0
4,4,5,4,4,3,4,4,5,4,5,5,4,4,3,3,5,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,3,4,1,0,1,,0,0
4,4,4,3,4,4,3,5,4,4,4,5,5,3,4,5,4,3,4,4,3,3,3,4,5,4,4,4,4,4,4,3,3,3,3,4,19,0,1,,0,0
4,4,5,3,3,3,3,4,4,3,3,4,3,4,3,3,4,5,3,2,3,2,2,2,2,3,3,2,2,3,2,3,3,3,2,2,6,1,1,,0,0
4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,1,0,1,,0,0
4,4,4,4,4,4,4,4,4,3,5,5,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,0,1,,0,0
5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,5,4,4,5,5,1,0,1,,1,0
4,4,5,4,4,4,5,5,5,5,5,4,4,5,5,5,4,5,3,3,2,3,2,4,4,4,4,4,3,4,4,4,4,4,4,4,11,0,1,,0,0
4,4,4,3,3,3,3,4,4,3,4,4,3,3,3,4,4,4,3,3,4,2,2,1,4,3,4,3,4,4,3,3,3,4,3,5,11,0,1,,0,0
5,5,5,4,4,3,4,5,5,5,5,5,4,3,4,3,4,4,4,3,3,3,3,2,4,4,5,3,4,5,3,2,2,5,2,4,5,1,1,,0,0
4,3,4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,8,0,1,,0,0
5,5,5,4,4,4,5,5,4,4,5,5,4,5,5,5,5,5,2,1,2,1,1,1,5,3,5,4,2,3,3,4,3,3,3,5,3,1,1,,0,0
3,4,5,5,5,2,2,5,5,4,5,5,3,5,2,2,5,4,3,3,4,4,3,4,3,5,5,4,4,4,3,4,5,4,5,4,6,1,1,,0,0
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,2,0,1,,1,0
3,4,5,4,4,4,4,4,4,4,5,4,3,4,4,4,4,3,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,0,1,,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,3,2,3,3,3,3,4,2,3,4,4,3,3,4,3,2,3,0,1,,0,0
4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,3,3,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,0,1,,0,0
4,4,3,4,4,4,3,5,5,4,5,5,5,5,5,5,5,5,4,4,3,4,4,4,3,5,5,4,5,5,5,5,5,5,5,5,7,0,1,,1,0
5,5,5,4,4,5,4,5,4,3,5,5,4,4,4,3,4,4,4,4,4,4,4,3,4,5,4,3,4,4,4,4,4,2,3,5,9,0,1,,1,0
4,4,4,4,4,4,4,4,5,4,5,5,3,4,4,4,5,3,4,2,4,3,4,2,3,4,2,2,3,4,2,4,4,3,4,3,2,0,1,,0,0
4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,4,5,4,4,3,4,4,4,4,5,0,1,,0,0
5,5,5,4,5,4,4,5,5,4,5,4,5,4,3,4,5,5,4,4,3,2,3,3,4,4,3,2,3,3,3,4,3,3,3,3,14,0,1,,0,0
4,2,5,3,5,3,5,5,5,3,5,5,4,3,3,4,5,3,4,2,5,3,4,4,4,5,5,4,4,4,4,4,5,5,4,5,12,0,1,,0,0
4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,5,4,5,5,4,4,3,4,3,4,4,4,4,4,4,4,3,4,5,4,4,5,0,1,,0,0
5,5,5,3,4,4,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,2,3,4,4,5,5,5,5,5,5,4,4,4,5,4,7.3,0,1,,0,0
4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,4,5,3,4,3,4,3,3,4,4,4,4,5,4,3,3,3,4,5,3,4,1,0,1,,0,0
4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,8,0,1,,0,0
4,4,4,5,4,4,4,4,5,4,5,4,4,4,4,4,5,5,3,3,3,3,3,3,3,3,4,2,3,3,3,5,5,5,3,5,14,0,1,,1,0
4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,2,4,3,4,4,4,4,4,2,3,3,4,4,4,4,3,4,7.3,0,1,,0,0
4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,1,0,1,,0,0
3,4,5,3,3,3,4,5,4,3,5,5,3,4,2,3,3,3,5,4,4,3,3,3,4,5,4,3,5,5,4,3,3,4,2,3,0.5,0,1,,1,0
3,4,5,5,5,4,4,4,5,4,5,5,5,4,4,5,5,5,5,3,4,4,4,4,5,5,5,5,4,4,5,3,5,5,5,5,2,0,1,,0,0
4,4,4,4,4,4,4,4,5,5,5,5,4,4,3,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,4,5,5,5,4,2,0,1,,1,0
4,5,5,4,4,3,4,4,4,4,5,3,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,3,3,3,4,3,3,4,4,4,4,0,1,,0,0
5,5,5,4,4,4,4,5,4,3,5,5,4,5,4,4,4,4,5,5,5,4,3,3,4,5,4,3,5,4,4,4,3,3,4,4,4,0,1,,0,0
5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,4,4,4,5,5,4,5,5,5,5,5,5,5,0,1,,0,0
5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,0,2,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,2,,0,0
5,4,5,3,3,3,3,3,3,4,5,5,5,4,3,4,3,3,5,4,5,5,4,3,5,4,5,5,5,5,5,5,5,5,5,4,4,0,2,,0,0
1,3,5,4,4,3,3,5,5,4,5,5,4,4,5,4,5,4,4,4,4,4,4,5,4,5,5,4,5,5,5,4,4,5,5,5,4,1,2,,1,1
4,5,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,1,3,3,2,3,5,2,4,4,1,3,3,2,3,4,3,4,2,0,2,,0,0
5,4,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,3,4,5,5,5,5,5,5,4,3,5,5,5,5,3,13,0,2,,1,0
4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,4,3,3,5,5,4,5,3,3,4,5,3,5,5,4,4,1,0,2,,0,0
4,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4,5,5,5,4,4,5,5,5,5,4,5,4,3,5,5,5,3,5,4,4,0,1,2,,1,1
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,7.3,0,2,,1,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,2,,0,0
3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4,3,13,0,2,,0,0
4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,2,,0,0
5,3,5,5,4,4,4,3,5,5,4,3,4,4,4,3,4,3,4,3,5,4,4,3,5,4,5,5,5,3,4,5,5,4,5,4,1,1,2,,0,0
4,5,4,4,4,4,5,4,5,4,4,5,4,5,4,4,4,4,4,5,4,5,4,4,5,4,5,4,4,5,5,5,4,5,4,4,1,0,2,,1,0
4,5,4,5,4,2,5,4,4,4,4,4,3,3,4,4,5,3,4,5,4,5,5,5,5,5,5,4,4,4,5,4,4,4,5,4,3,0,2,,0,0
4,3,3,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4,3,3,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,7,0,2,,0,0
5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,6,0,2,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,0,2,,1,0
5,5,5,4,4,4,4,4,5,4,5,5,4,4,4,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,4,5,5,6,0,2,,0,0
5,4,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,3,4,5,5,5,5,5,4,4,4,4,4,4,4,6,0,2,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,0,2,,1,0
5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,11,0,2,,0,0
2,5,5,5,5,3,5,4,5,5,5,5,5,5,5,3,5,4,5,4,5,5,4,5,3,4,5,5,4,5,5,5,5,5,5,5,3,0,2,,0,0
3,2,5,5,3,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,3,4,4,3,4,4,4,4,4,2,0,2,,0,0
5,4,5,5,5,3,4,5,5,5,5,4,4,5,5,5,5,4,5,4,4,4,4,4,5,5,5,5,5,4,5,4,5,5,5,5,1,0,2,,0,0
4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,7,0,2,,0,0
4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,19,0,2,,1,0
4,5,5,4,4,3,5,4,5,4,4,5,5,5,5,4,5,4,2,5,5,2,3,3,5,5,5,3,4,5,5,5,4,5,5,3,13,0,2,,0,0
5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,2,0,2,,0,0
4,4,5,5,5,4,5,4,5,4,5,5,5,5,4,5,5,5,4,4,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,3,0,2,,0,0
4,4,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,0,2,,0,0
5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,10,0,2,,0,0
5,3,5,5,4,3,4,4,4,4,5,4,4,5,4,4,5,4,3,3,4,3,3,3,3,3,4,4,5,4,4,5,4,4,4,4,8,0,2,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,0,2,,1,0
3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,5,4,5,7.3,1,2,,0,0
5,4,5,4,3,4,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,4,3,4,5,5,5,5,5,5,5,4,5,5,4,5,7.3,0,2,,0,0
5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,7,0,2,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,2,,0,0
4,4,4,4,4,3,3,4,4,3,3,4,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,0,2,,0,0
5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,4,4,5,5,5,5,2,0,2,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,2,,0,0
4,3,5,4,4,3,4,3,4,3,5,3,3,4,4,3,4,3,4,2,5,4,4,4,4,1,2,3,5,3,2,4,3,2,4,3,3,1,2,,0,0
4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,0,2,,0,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,0,2,,0,0
5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,1,0,2,,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,2,,1,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,2,,0,0
5,5,5,4,5,4,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,15,0,2,,0,0
4,4,4,4,3,3,4,5,5,4,5,5,4,4,5,4,5,4,5,4,4,4,3,3,4,4,5,4,5,5,5,4,5,5,5,4,10,0,2,,0,0
5,5,5,5,5,3,4,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,1,2,,0,0
4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,18,0,2,,1,0
5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,1,1,2,,0,0
4,4,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,10,0,2,,0,0
4,3,5,3,4,3,3,3,4,4,5,3,3,3,2,4,2,4,5,3,5,4,3,3,5,4,4,4,5,3,4,3,3,5,3,4,1,0,2,,0,0
4,5,5,5,3,3,5,5,5,4,5,5,3,3,4,4,5,5,4,2,3,2,3,3,4,5,5,4,3,3,4,4,4,5,3,5,5,0,2,,0,0
1,5,5,5,5,3,4,5,5,5,5,5,4,5,5,5,5,1,1,5,5,5,5,3,4,5,2,2,4,4,4,5,5,4,4,5,18,0,2,,0,0
4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,4,5,13,0,2,,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,0,2,,1,0
